Title,URL handle,Description,Vendor,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Price,Compare-at price,Product image URL,Image position,Image alt text,SEO title,SEO description
Bezprzewodowy Panel LED do Fototerapii Twarzy i Ciała Beautifly SkinGlow PRO,bezprzewodowy-panel-led-do-fototerapii-twarzy-i-ciaa-beautifly-skinglow-pro,,,LIGHT THERAPY,TRUE,Active,,,,,,,999,812.2,,,,,
Beautifly SkinMist PRO,beautifly-skinmist-pro,,,,TRUE,Active,,,,,,,,,,,,,
Masażer antycellulitowy 8w1 Beautifly TouchSense Body,masazer-antycellulitowy-8w1-beautifly-touchsense-body,,,CIAŁO,TRUE,Active,,,,,,,349,283.74,,,,,
Bezprzewodowy Pas do Brzucha  z EMS i fototerapią Beautifly FemmeForm Balance,bezprzewodowy-pas-do-brzucha-z-ems-i-fototerapia-beautifly-femmeform-balance,,,Balance,TRUE,Active,,,,,,,399,324.39,,,,,
Panel LED do Fototerapii Twarzy i Ciała Beautifly BeautiLight Duo Golden,panel-led-do-fototerapii-twarzy-i-ciaa-beautifly-beautilight-duo-golden,,,GOLDEN,TRUE,Active,,,,,,,2499,2031.71,,,,,
Maska do terapii światłem LED na twarz Beautifly AuraSkin Pro,maska-do-terapii-swiatem-led-na-twarz-beautifly-auraskin-pro,,,LIGHT THERAPY,TRUE,Active,,,,,,,699,568.29,,,,,
Zestaw Manicure Beautifly 9 elementów NA-1-S,zestaw-manicure-beautifly-9-elementow-na-1-s,,,PAZNOKCIE,TRUE,Active,,,,,,,39.99,32.51,,,,,
Hydrodermabrazja Beautifly Hydraclear Pro,hydrodermabrazja-beautifly-hydraclear-pro,,,HYDRODERMABRAZJA,TRUE,Active,,,,,,,599,486.99,,,,,
Masażer do ciała Beautifly Lipomassage Slim Body,masazer-do-ciaa-beautifly-lipomassage-slim-body,,,CIAŁO,TRUE,Active,,,,,,,499,405.69,,,,,
Opaska zabiegowa na włosy Beautifly HA-17 Pink,opaska-zabiegowa-na-wosy-beautifly-ha-17-pink,,,WŁOSY,TRUE,Active,,,,,,,29.99,24.38,,,,,
Klamra do włosów Beautifly HA-31,klamra-do-wosow-beautifly-ha-31,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Klamra do włosów Beautifly HA-30,klamra-do-wosow-beautifly-ha-30,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Klamra do włosów Beautifly HA-28,klamra-do-wosow-beautifly-ha-28,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Klamra do włosów Beautifly HA-29,klamra-do-wosow-beautifly-ha-29,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Klamra do włosów Beautifly HA-27,klamra-do-wosow-beautifly-ha-27,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Klamra do włosów Beautifly HA-26,klamra-do-wosow-beautifly-ha-26,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Klamra do włosów Beautifly HA-25,klamra-do-wosow-beautifly-ha-25,,,WŁOSY,TRUE,Active,,,,,,,12.99,10.56,,,,,
Beautifly D’Arsonval Pro,beautifly-darsonval-pro,,,,TRUE,Active,,,,,,,,,,,,,
Beautifly IonSteam Balance,beautifly-ionsteam-balance,,,,TRUE,Active,,,,,,,,,,,,,
Areoprostownica Beautifly DualPerfection,areoprostownica-beautifly-dualperfection,,,WŁOSY,TRUE,Active,,,,,,,799,649.59,,,,,
Głowica do Meso PRO Beautifly 36 igieł DH-11,gowica-do-meso-pro-beautifly-36-igie-dh-11,,,GŁOWICE DO DERMAPENÓW,TRUE,Active,,,,,,,0,0,,,,,
Głowica do Meso PRO Beautifly 12 igieł DH-10,gowica-do-meso-pro-beautifly-12-igie-dh-10,,,GŁOWICE DO DERMAPENÓW,TRUE,Active,,,,,,,0,0,,,,,
Głowica do Meso Intense Beautifly 36 igieł DH-9,gowica-do-meso-intense-beautifly-36-igie-dh-9,,,GŁOWICE DO DERMAPENÓW,TRUE,Active,,,,,,,24.99,20.32,,,,,
Głowica do Meso Intense Beautifly 12 igieł DH-8,gowica-do-meso-intense-beautifly-12-igie-dh-8,,,GŁOWICE DO DERMAPENÓW,TRUE,Active,,,,,,,19.99,16.25,,,,,
Urządzenie do fototerapii Dual-Band DPL + NIR Beautifly EthernaGlow Therapy Golden,urzadzenie-do-fototerapii-dual-band-dpl-nir-beautifly-ethernaglow-therapy-golden,,,GOLDEN,TRUE,Active,,,,,,,1999,1625.2,,,,,
Mikrodermabrazja Beautifly Derma Pro,mikrodermabrazja-beautifly-derma-pro,,,MIKRODERMABRAZJA,TRUE,Active,,,,,,,399,324.39,,,,,
Maska do terapii światłem LED na twarz Beautifly Aura Glam Pro,maska-do-terapii-swiatem-led-na-twarz-beautifly-aura-glam-pro,,,LIGHT THERAPY,TRUE,Active,,,,,,,999,812.2,,,,,
Masażer Okolic Oczu Beautifly Looky Pro,masazer-okolic-oczu-beautifly-looky-pro,,,OCZY,TRUE,Active,,,,,,,499,405.69,,,,,
Olejek do masażu Beautifly Harmony Touch 250 ml,olejek-do-masazu-beautifly-harmony-touch-250-ml,,,KOSMETYKI,TRUE,Active,,,,,,,39,31.71,,,,,
Płatki pod oczy Beautifly Hydrogel Beauty Patches (2 szt.),patki-pod-oczy-beautifly-hydrogel-beauty-patches-2-szt,,,KOSMETYKI,TRUE,Active,,,,,,,6.9,5.61,,,,,
